bigrams_comb,count,quarter
"('威胁', '深入')",1,2006-2009Q
"('导弹', '飞行')",1,2006-2009Q
"('协商', '深入')",1,2006-2009Q
"('飞行', '挑衅')",1,2006-2009Q
"('飞行', '严重')",1,2006-2009Q
"('飞行', '报道')",1,2006-2009Q
"('日本', '朝鲜')",1,2006-2009Q
"('日本', '挑衅')",1,2006-2009Q
"('日本', '弹道')",1,2006-2009Q
"('日本', '严重')",1,2006-2009Q
"('日本', '报道')",1,2006-2009Q
"('朝鲜', '挑衅')",1,2006-2009Q
"('朝鲜', '弹道')",1,2006-2009Q
"('朝鲜', '严重')",1,2006-2009Q
"('挑衅', '弹道')",1,2006-2009Q
"('挑衅', '严重')",1,2006-2009Q
"('挑衅', '报道')",1,2006-2009Q
"('弹道', '严重')",1,2006-2009Q
"('弹道', '报道')",1,2006-2009Q
"('飞行', '弹道')",1,2006-2009Q
"('飞行', '朝鲜')",1,2006-2009Q
"('导弹', '挑衅')",1,2006-2009Q
"('飞行', '日本')",1,2006-2009Q
"('导弹', '弹道')",1,2006-2009Q
"('导弹', '严重')",1,2006-2009Q
"('导弹', '报道')",1,2006-2009Q
"('发射', '行为')",1,2006-2009Q
"('发射', '飞行')",1,2006-2009Q
"('发射', '挑衅')",1,2006-2009Q
"('发射', '弹道')",1,2006-2009Q
"('发射', '严重')",1,2006-2009Q
"('行为', '飞行')",1,2006-2009Q
"('行为', '日本')",1,2006-2009Q
"('行为', '朝鲜')",1,2006-2009Q
"('行为', '挑衅')",1,2006-2009Q
"('行为', '弹道')",1,2006-2009Q
"('行为', '严重')",1,2006-2009Q
"('行为', '报道')",1,2006-2009Q
"('研究', '美国')",1,2006-2009Q
"('协商', '威胁')",1,2006-2009Q
"('投资', '印度')",1,2006-2009Q
"('新加坡', '印度')",1,2006-2009Q
"('经济', '印度')",1,2006-2009Q
"('飞机', '印度')",1,2006-2009Q
"('朝鲜', '经济')",1,2006-2009Q
"('朝鲜', '开展')",1,2006-2009Q
"('朝鲜', '生产')",1,2006-2009Q
"('朝鲜', '援助')",1,2006-2009Q
"('朝鲜', '目标')",1,2006-2009Q
"('朝鲜', '建设')",1,2006-2009Q
"('朝鲜', '实现')",1,2006-2009Q
"('朝鲜', '重点')",1,2006-2009Q
"('朝鲜', '能源')",1,2006-2009Q
"('经济', '开展')",1,2006-2009Q
"('经济', '生产')",1,2006-2009Q
"('经济', '援助')",1,2006-2009Q
"('经济', '目标')",1,2006-2009Q
"('经济', '飞机')",1,2006-2009Q
"('新加坡', '飞机')",1,2006-2009Q
"('经济', '实现')",1,2006-2009Q
"('新加坡', '经济')",1,2006-2009Q
"('投入', '美元')",1,2006-2009Q
"('安理会', '决议')",1,2006-2009Q
"('投入', '新加坡')",1,2006-2009Q
"('投入', '经济')",1,2006-2009Q
"('投入', '飞机')",1,2006-2009Q
"('投入', '印度')",1,2006-2009Q
"('美元', '亚洲')",1,2006-2009Q
"('美元', '新加坡')",1,2006-2009Q
"('美元', '经济')",1,2006-2009Q
"('美元', '飞机')",1,2006-2009Q
"('美元', '印度')",1,2006-2009Q
"('亚洲', '新加坡')",1,2006-2009Q
"('亚洲', '经济')",1,2006-2009Q
"('亚洲', '飞机')",1,2006-2009Q
"('亚洲', '印度')",1,2006-2009Q
"('经济', '建设')",1,2006-2009Q
"('经济', '重点')",1,2006-2009Q
"('协商', '确定')",1,2006-2009Q
"('援助', '能源')",1,2006-2009Q
"('目标', '实现')",1,2006-2009Q
"('目标', '重点')",1,2006-2009Q
"('目标', '能源')",1,2006-2009Q
"('建设', '实现')",1,2006-2009Q
"('建设', '重点')",1,2006-2009Q
"('建设', '能源')",1,2006-2009Q
"('实现', '重点')",1,2006-2009Q
"('实现', '能源')",1,2006-2009Q
"('重点', '能源')",1,2006-2009Q
"('协商', '研究')",1,2006-2009Q
"('协商', '美国')",1,2006-2009Q
"('协商', '国防部')",1,2006-2009Q
"('协商', '对话')",1,2006-2009Q
"('协商', '朝鲜')",1,2006-2009Q
"('协商', '转变')",1,2006-2009Q
"('目标', '建设')",1,2006-2009Q
"('援助', '重点')",1,2006-2009Q
"('经济', '能源')",1,2006-2009Q
"('援助', '实现')",1,2006-2009Q
"('开展', '生产')",1,2006-2009Q
"('开展', '援助')",1,2006-2009Q
"('开展', '目标')",1,2006-2009Q
"('开展', '建设')",1,2006-2009Q
"('开展', '实现')",1,2006-2009Q
"('开展', '重点')",1,2006-2009Q
"('开展', '能源')",1,2006-2009Q
"('生产', '援助')",1,2006-2009Q
"('生产', '目标')",1,2006-2009Q
"('生产', '建设')",1,2006-2009Q
"('生产', '实现')",1,2006-2009Q
"('生产', '重点')",1,2006-2009Q
"('生产', '能源')",1,2006-2009Q
"('援助', '目标')",1,2006-2009Q
"('援助', '建设')",1,2006-2009Q
"('声明', '主席')",1,2006-2009Q
"('时间', '问题')",1,2006-2009Q
"('安理会', '努力')",1,2006-2009Q
"('美国', '双方')",1,2006-2009Q
"('情报', '国家')",1,2006-2009Q
"('朝鲜', '侦察')",1,2006-2009Q
"('朝鲜', '这些')",1,2006-2009Q
"('朝鲜', '监视')",1,2006-2009Q
"('朝鲜', '人员')",1,2006-2009Q
"('朝鲜', '手段')",1,2006-2009Q
"('朝鲜', '国家')",1,2006-2009Q
"('侦察', '卫星')",1,2006-2009Q
"('侦察', '这些')",1,2006-2009Q
"('侦察', '监视')",1,2006-2009Q
"('侦察', '人员')",1,2006-2009Q
"('侦察', '韩国')",1,2006-2009Q
"('侦察', '手段')",1,2006-2009Q
"('侦察', '国家')",1,2006-2009Q
"('卫星', '这些')",1,2006-2009Q
"('情报', '手段')",1,2006-2009Q
"('情报', '韩国')",1,2006-2009Q
"('情报', '人员')",1,2006-2009Q
"('问题', '双边')",1,2006-2009Q
"('谈判', '问题')",1,2006-2009Q
"('谈判', '国务卿')",1,2006-2009Q
"('谈判', '双方')",1,2006-2009Q
"('谈判', '双边')",1,2006-2009Q
"('问题', '国务卿')",1,2006-2009Q
"('问题', '双方')",1,2006-2009Q
"('国务卿', '双方')",1,2006-2009Q
"('情报', '监视')",1,2006-2009Q
"('国务卿', '双边')",1,2006-2009Q
"('双方', '双边')",1,2006-2009Q
"('情报', '朝鲜')",1,2006-2009Q
"('情报', '侦察')",1,2006-2009Q
"('情报', '卫星')",1,2006-2009Q
"('情报', '这些')",1,2006-2009Q
"('卫星', '监视')",1,2006-2009Q
"('卫星', '人员')",1,2006-2009Q
"('卫星', '韩国')",1,2006-2009Q
"('朝鲜', '公里')",1,2006-2009Q
"('导弹', '射程')",1,2006-2009Q
"('导弹', '技术')",1,2006-2009Q
"('导弹', '韩国')",1,2006-2009Q
"('导弹', '担心')",1,2006-2009Q
"('导弹', '成功')",1,2006-2009Q
"('朝鲜', '试射')",1,2006-2009Q
"('朝鲜', '射程')",1,2006-2009Q
"('导弹', '试射')",1,2006-2009Q
"('朝鲜', '技术')",1,2006-2009Q
"('朝鲜', '担心')",1,2006-2009Q
"('朝鲜', '成功')",1,2006-2009Q
"('试射', '公里')",1,2006-2009Q
"('试射', '射程')",1,2006-2009Q
"('试射', '发射')",1,2006-2009Q
"('导弹', '公里')",1,2006-2009Q
"('手段', '国家')",1,2006-2009Q
"('卫星', '手段')",1,2006-2009Q
"('监视', '人员')",1,2006-2009Q
"('卫星', '国家')",1,2006-2009Q
"('这些', '监视')",1,2006-2009Q
"('这些', '人员')",1,2006-2009Q
"('这些', '韩国')",1,2006-2009Q
"('这些', '手段')",1,2006-2009Q
"('这些', '国家')",1,2006-2009Q
"('监视', '韩国')",1,2006-2009Q
"('韩国', '国家')",1,2006-2009Q
"('监视', '手段')",1,2006-2009Q
"('监视', '国家')",1,2006-2009Q
"('人员', '韩国')",1,2006-2009Q
"('人员', '手段')",1,2006-2009Q
"('人员', '国家')",1,2006-2009Q
"('韩国', '手段')",1,2006-2009Q
"('美国', '双边')",1,2006-2009Q
"('美国', '国务卿')",1,2006-2009Q
"('安理会', '联合国')",1,2006-2009Q
"('美国', '问题')",1,2006-2009Q
"('发射', '太空')",1,2006-2009Q
"('制裁', '日本')",1,2006-2009Q
"('制裁', '安理会')",1,2006-2009Q
"('制裁', '防御')",1,2006-2009Q
"('制裁', '系统')",1,2006-2009Q
"('制裁', '推动')",1,2006-2009Q
"('制裁', '太空')",1,2006-2009Q
"('日本', '安理会')",1,2006-2009Q
"('日本', '防御')",1,2006-2009Q
"('日本', '系统')",1,2006-2009Q
"('日本', '推动')",1,2006-2009Q
"('日本', '太空')",1,2006-2009Q
"('安理会', '防御')",1,2006-2009Q
"('安理会', '系统')",1,2006-2009Q
"('安理会', '推动')",1,2006-2009Q
"('发射', '推动')",1,2006-2009Q
"('发射', '系统')",1,2006-2009Q
"('发射', '防御')",1,2006-2009Q
"('朝鲜', '太空')",1,2006-2009Q
"('朝鲜', '制裁')",1,2006-2009Q
"('朝鲜', '日本')",1,2006-2009Q
"('朝鲜', '安理会')",1,2006-2009Q
"('朝鲜', '防御')",1,2006-2009Q
"('朝鲜', '系统')",1,2006-2009Q
"('朝鲜', '推动')",1,2006-2009Q
"('导弹', '制裁')",1,2006-2009Q
"('发射', '安理会')",1,2006-2009Q
"('导弹', '安理会')",1,2006-2009Q
"('导弹', '防御')",1,2006-2009Q
"('导弹', '系统')",1,2006-2009Q
"('导弹', '推动')",1,2006-2009Q
"('导弹', '太空')",1,2006-2009Q
"('发射', '制裁')",1,2006-2009Q
"('安理会', '太空')",1,2006-2009Q
"('防御', '系统')",1,2006-2009Q
"('防御', '推动')",1,2006-2009Q
"('关系', '双边')",1,2006-2009Q
"('关系', '美元')",1,2006-2009Q
"('关系', '美国')",1,2006-2009Q
"('关系', '谈判')",1,2006-2009Q
"('关系', '问题')",1,2006-2009Q
"('关系', '国务卿')",1,2006-2009Q
"('关系', '双方')",1,2006-2009Q
"('美元', '美国')",1,2006-2009Q
"('朝鲜', '双方')",1,2006-2009Q
"('美元', '谈判')",1,2006-2009Q
"('美元', '问题')",1,2006-2009Q
"('美元', '国务卿')",1,2006-2009Q
"('美元', '双方')",1,2006-2009Q
"('美元', '双边')",1,2006-2009Q
"('美国', '谈判')",1,2006-2009Q
"('朝鲜', '双边')",1,2006-2009Q
"('朝鲜', '国务卿')",1,2006-2009Q
"('防御', '太空')",1,2006-2009Q
"('会谈', '美国')",1,2006-2009Q
"('系统', '推动')",1,2006-2009Q
"('系统', '太空')",1,2006-2009Q
"('推动', '太空')",1,2006-2009Q
"('会谈', '朝鲜')",1,2006-2009Q
"('会谈', '关系')",1,2006-2009Q
"('会谈', '美元')",1,2006-2009Q
"('会谈', '谈判')",1,2006-2009Q
"('朝鲜', '谈判')",1,2006-2009Q
"('会谈', '问题')",1,2006-2009Q
"('会谈', '国务卿')",1,2006-2009Q
"('会谈', '双方')",1,2006-2009Q
"('会谈', '双边')",1,2006-2009Q
"('朝鲜', '关系')",1,2006-2009Q
"('朝鲜', '美元')",1,2006-2009Q
"('试射', '技术')",1,2006-2009Q
"('试射', '韩国')",1,2006-2009Q
"('试射', '担心')",1,2006-2009Q
"('试射', '成功')",1,2006-2009Q
"('朝鲜', '火箭')",1,2006-2009Q
"('朝鲜', '民族')",1,2006-2009Q
"('朝鲜', '谴责')",1,2006-2009Q
"('打击', '火箭')",1,2006-2009Q
"('打击', '报道')",1,2006-2009Q
"('打击', '民族')",1,2006-2009Q
"('打击', '谴责')",1,2006-2009Q
"('火箭', '报道')",1,2006-2009Q
"('火箭', '民族')",1,2006-2009Q
"('火箭', '谴责')",1,2006-2009Q
"('报道', '民族')",1,2006-2009Q
"('报道', '谴责')",1,2006-2009Q
"('民族', '谴责')",1,2006-2009Q
"('发射', '日')",1,2006-2009Q
"('发射', '月')",1,2006-2009Q
"('朝鲜', '打击')",1,2006-2009Q
"('和平', '谴责')",1,2006-2009Q
"('和平', '民族')",1,2006-2009Q
"('拦截', '打击')",1,2006-2009Q
"('发射', '和平')",1,2006-2009Q
"('发射', '打击')",1,2006-2009Q
"('发射', '民族')",1,2006-2009Q
"('发射', '谴责')",1,2006-2009Q
"('拦截', '和平')",1,2006-2009Q
"('拦截', '朝鲜')",1,2006-2009Q
"('拦截', '火箭')",1,2006-2009Q
"('和平', '报道')",1,2006-2009Q
"('拦截', '报道')",1,2006-2009Q
"('拦截', '民族')",1,2006-2009Q
"('拦截', '谴责')",1,2006-2009Q
"('和平', '朝鲜')",1,2006-2009Q
"('和平', '打击')",1,2006-2009Q
"('和平', '火箭')",1,2006-2009Q
"('发射', '即将')",1,2006-2009Q
"('发射', '时间')",1,2006-2009Q
"('发射', '问题')",1,2006-2009Q
"('月', '李明博')",1,2006-2009Q
"('卫星', '时间')",1,2006-2009Q
"('卫星', '问题')",1,2006-2009Q
"('卫星', '李明博')",1,2006-2009Q
"('月', '即将')",1,2006-2009Q
"('月', '时间')",1,2006-2009Q
"('月', '问题')",1,2006-2009Q
"('即将', '时间')",1,2006-2009Q
"('卫星', '月')",1,2006-2009Q
"('即将', '问题')",1,2006-2009Q
"('即将', '李明博')",1,2006-2009Q
"('时间', '李明博')",1,2006-2009Q
"('问题', '李明博')",1,2006-2009Q
"('安理会', '欢迎')",1,2006-2009Q
"('安理会', '敦促')",1,2006-2009Q
"('卫星', '即将')",1,2006-2009Q
"('朝鲜', '李明博')",1,2006-2009Q
"('发射', '李明博')",1,2006-2009Q
"('火箭', '问题')",1,2006-2009Q
"('火箭', '日')",1,2006-2009Q
"('火箭', '朝鲜')",1,2006-2009Q
"('火箭', '卫星')",1,2006-2009Q
"('火箭', '月')",1,2006-2009Q
"('火箭', '即将')",1,2006-2009Q
"('火箭', '时间')",1,2006-2009Q
"('火箭', '李明博')",1,2006-2009Q
"('朝鲜', '时间')",1,2006-2009Q
"('日', '卫星')",1,2006-2009Q
"('日', '即将')",1,2006-2009Q
"('日', '时间')",1,2006-2009Q
"('日', '问题')",1,2006-2009Q
"('日', '李明博')",1,2006-2009Q
"('朝鲜', '即将')",1,2006-2009Q
"('发射', '拦截')",1,2006-2009Q
"('卫星', '谴责')",1,2006-2009Q
"('卫星', '民族')",1,2006-2009Q
"('日', '接触')",1,2006-2009Q
"('韩国', '担心')",1,2006-2009Q
"('韩国', '成功')",1,2006-2009Q
"('担心', '成功')",1,2006-2009Q
"('日', '愿意')",1,2006-2009Q
"('日', '对话')",1,2006-2009Q
"('日', '美国')",1,2006-2009Q
"('日', '首尔')",1,2006-2009Q
"('技术', '担心')",1,2006-2009Q
"('日', '访问')",1,2006-2009Q
"('日', '考虑')",1,2006-2009Q
"('愿意', '朝鲜')",1,2006-2009Q
"('愿意', '对话')",1,2006-2009Q
"('愿意', '美国')",1,2006-2009Q
"('愿意', '接触')",1,2006-2009Q
"('技术', '成功')",1,2006-2009Q
"('技术', '韩国')",1,2006-2009Q
"('愿意', '首尔')",1,2006-2009Q
"('射程', '发射')",1,2006-2009Q
"('公里', '射程')",1,2006-2009Q
"('公里', '发射')",1,2006-2009Q
"('公里', '技术')",1,2006-2009Q
"('公里', '韩国')",1,2006-2009Q
"('公里', '担心')",1,2006-2009Q
"('公里', '成功')",1,2006-2009Q
"('射程', '技术')",1,2006-2009Q
"('发射', '成功')",1,2006-2009Q
"('射程', '韩国')",1,2006-2009Q
"('射程', '担心')",1,2006-2009Q
"('射程', '成功')",1,2006-2009Q
"('发射', '技术')",1,2006-2009Q
"('发射', '韩国')",1,2006-2009Q
"('发射', '担心')",1,2006-2009Q
"('愿意', '月')",1,2006-2009Q
"('愿意', '访问')",1,2006-2009Q
"('卫星', '报道')",1,2006-2009Q
"('首尔', '考虑')",1,2006-2009Q
"('接触', '访问')",1,2006-2009Q
"('接触', '考虑')",1,2006-2009Q
"('月', '首尔')",1,2006-2009Q
"('月', '访问')",1,2006-2009Q
"('月', '考虑')",1,2006-2009Q
"('首尔', '访问')",1,2006-2009Q
"('访问', '考虑')",1,2006-2009Q
"('接触', '月')",1,2006-2009Q
"('卫星', '发射')",1,2006-2009Q
"('卫星', '拦截')",1,2006-2009Q
"('卫星', '和平')",1,2006-2009Q
"('卫星', '朝鲜')",1,2006-2009Q
"('卫星', '打击')",1,2006-2009Q
"('卫星', '火箭')",1,2006-2009Q
"('接触', '首尔')",1,2006-2009Q
"('美国', '考虑')",1,2006-2009Q
"('愿意', '考虑')",1,2006-2009Q
"('对话', '接触')",1,2006-2009Q
"('朝鲜', '对话')",1,2006-2009Q
"('朝鲜', '接触')",1,2006-2009Q
"('朝鲜', '首尔')",1,2006-2009Q
"('朝鲜', '访问')",1,2006-2009Q
"('朝鲜', '考虑')",1,2006-2009Q
"('对话', '美国')",1,2006-2009Q
"('对话', '月')",1,2006-2009Q
"('美国', '访问')",1,2006-2009Q
"('对话', '首尔')",1,2006-2009Q
"('对话', '访问')",1,2006-2009Q
"('对话', '考虑')",1,2006-2009Q
"('美国', '接触')",1,2006-2009Q
"('美国', '月')",1,2006-2009Q
"('美国', '首尔')",1,2006-2009Q
"('严重', '报道')",1,2006-2009Q
"('演习', '参加')",1,2010Q1
"('联合', '韩国')",1,2010Q1
"('军演', '军事')",1,2010Q1
"('军演', '机会')",1,2010Q1
"('军演', '美军')",1,2010Q1
"('军演', '军队')",1,2010Q1
"('军演', '韩国')",1,2010Q1
"('海外', '军事')",1,2010Q1
"('海外', '机会')",1,2010Q1
"('海外', '美军')",1,2010Q1
"('海外', '军队')",1,2010Q1
"('海外', '韩国')",1,2010Q1
"('军事', '机会')",1,2010Q1
"('军事', '美军')",1,2010Q1
"('军事', '军队')",1,2010Q1
"('军事', '韩国')",1,2010Q1
"('机会', '美军')",1,2010Q1
"('机会', '军队')",1,2010Q1
"('机会', '韩国')",1,2010Q1
"('美军', '军队')",1,2010Q1
"('美军', '韩国')",1,2010Q1
"('军演', '海外')",1,2010Q1
"('联合', '军队')",1,2010Q1
"('演习', '联合')",1,2010Q1
"('联合', '美军')",1,2010Q1
"('演习', '军演')",1,2010Q1
"('演习', '海外')",1,2010Q1
"('演习', '军事')",1,2010Q1
"('演习', '机会')",1,2010Q1
"('演习', '美军')",1,2010Q1
"('演习', '军队')",1,2010Q1
"('演习', '韩国')",1,2010Q1
"('参加', '联合')",1,2010Q1
"('参加', '军演')",1,2010Q1
"('参加', '海外')",1,2010Q1
"('参加', '军事')",1,2010Q1
"('参加', '机会')",1,2010Q1
"('参加', '美军')",1,2010Q1
"('参加', '军队')",1,2010Q1
"('参加', '韩国')",1,2010Q1
"('联合', '军演')",1,2010Q1
"('联合', '海外')",1,2010Q1
"('联合', '军事')",1,2010Q1
"('联合', '机会')",1,2010Q1
"('军队', '韩国')",1,2010Q1
"('军演', '演习')",2,2010Q3
"('演习', '日')",2,2010Q3
"('军演', '日')",2,2010Q3
"('联合', '进行')",1,2010Q3
"('演习', '进行')",1,2010Q3
"('演习', '军队')",1,2010Q3
"('演习', '战斗机')",1,2010Q3
"('演习', '最后')",1,2010Q3
"('联合', '空中')",1,2010Q3
"('联合', '日')",1,2010Q3
"('联合', '反潜')",1,2010Q3
"('中国', '军演')",1,2010Q3
"('演习', '空中')",1,2010Q3
"('联合', '军队')",1,2010Q3
"('联合', '战斗机')",1,2010Q3
"('联合', '最后')",1,2010Q3
"('联合', '演习')",1,2010Q3
"('军演', '空中')",1,2010Q3
"('军演', '反潜')",1,2010Q3
"('军演', '进行')",1,2010Q3
"('军演', '军队')",1,2010Q3
